param_estimator,param_n_estimators,param_learning_rate,mean_test_score,mean_train_score,std_test_score,std_train_score
DecisionTreeClassifier(max_depth=1),25,0.01,0.7822672776348001,0.7822671257702066,0.006527899156364903,0.0016296870270965742
DecisionTreeClassifier(max_depth=1),50,0.01,0.7822672776348001,0.7822671257702066,0.006527899156364903,0.0016296870270965742
DecisionTreeClassifier(max_depth=1),100,0.01,0.7822672776348001,0.7875967190380888,0.006527899156364903,0.008197400923286574
DecisionTreeClassifier(max_depth=1),200,0.01,0.790101060824807,0.7926473832674095,0.013880039357209491,0.004354303877034181
DecisionTreeClassifier(max_depth=1),25,0.03,0.7822672776348001,0.7822671257702066,0.006527899156364903,0.0016296870270965742
DecisionTreeClassifier(max_depth=1),50,0.03,0.7889837423890528,0.7912440707880928,0.01237163494739936,0.004803190876849096
DecisionTreeClassifier(max_depth=1),100,0.03,0.790101060824807,0.7929278881762454,0.013880039357209491,0.004376151532118636
DecisionTreeClassifier(max_depth=1),200,0.03,0.7912246563304249,0.8013473690845769,0.014659478152135896,0.008335332501035271
DecisionTreeClassifier(max_depth=1),25,0.1,0.790101060824807,0.7923668783585734,0.013880039357209491,0.0062505549574700696
DecisionTreeClassifier(max_depth=1),50,0.1,0.790101060824807,0.7926473832674095,0.013880039357209491,0.004354303877034181
DecisionTreeClassifier(max_depth=1),100,0.1,0.812560416797439,0.8159379579872985,0.006012089565135119,0.0019863501001809065
DecisionTreeClassifier(max_depth=1),200,0.1,0.8148013307388112,0.8190235119844935,0.00822481568353888,0.003199862799027901
DecisionTreeClassifier(max_depth=1),25,0.3,0.812560416797439,0.8162176749609973,0.006012089565135119,0.0008930197671965831
DecisionTreeClassifier(max_depth=1),50,0.3,0.8148076078086749,0.8187430070756575,0.006347623081264268,0.0035896841820186455
DecisionTreeClassifier(max_depth=1),100,0.3,0.814801330738811,0.8249160849078905,0.00822481568353888,0.0046323928339902275
DecisionTreeClassifier(max_depth=1),200,0.3,0.8148076078086749,0.830250011819027,0.00727440632520951,0.006681695956418268
DecisionTreeClassifier(max_depth=1),25,1.0,0.8092021844203126,0.8338934238933451,0.010667905626154212,0.0030796074655110254
DecisionTreeClassifier(max_depth=1),50,1.0,0.8192831586215554,0.8400688655309894,0.0173808766144995,0.0029938652890296623
DecisionTreeClassifier(max_depth=1),100,1.0,0.8148138848785388,0.8451187418251729,0.0184672056809413,0.0028392249668953637
DecisionTreeClassifier(max_depth=1),200,1.0,0.8192894356914191,0.8496068203665473,0.01906140970214717,0.0034956980126004023
DecisionTreeClassifier(max_depth=3),25,0.01,0.8192894356914193,0.8409060466142428,0.02183939919629552,0.006572627198083167
DecisionTreeClassifier(max_depth=3),50,0.01,0.8193019898311468,0.8431516617552044,0.017924267245270752,0.006534337351512916
DecisionTreeClassifier(max_depth=3),100,0.01,0.822666499278137,0.8453957010258915,0.01577678045275438,0.0081553258795947
DecisionTreeClassifier(max_depth=3),200,0.01,0.8293892411022534,0.8490438407110327,0.015884162188676783,0.005712053757557798
DecisionTreeClassifier(max_depth=3),25,0.03,0.8193019898311468,0.8437130655404447,0.017924267245270752,0.005274689932081001
DecisionTreeClassifier(max_depth=3),50,0.03,0.8204193082669011,0.8423101470286966,0.010165392452553927,0.004724380564323428
DecisionTreeClassifier(max_depth=3),100,0.03,0.8338710689849979,0.8583072001512836,0.021059952000794715,0.004191940523589484
DecisionTreeClassifier(max_depth=3),200,0.03,0.8338899001945892,0.8647623587626267,0.016554533857482855,0.008483007208473604
DecisionTreeClassifier(max_depth=3),25,0.1,0.8305379448873266,0.8552181004459711,0.01592614722008127,0.0027589691439393674
DecisionTreeClassifier(max_depth=3),50,0.1,0.8338961772644529,0.8613919662133414,0.01687047745912169,0.00659618882404198
DecisionTreeClassifier(max_depth=3),100,0.1,0.8338836231247255,0.8656011157161542,0.015834353843432052,0.006765306894771587
DecisionTreeClassifier(max_depth=3),200,0.1,0.8293955181721172,0.8720546984572228,0.01368635016790376,0.006586267803328771
DecisionTreeClassifier(max_depth=3),25,0.3,0.8260435628648546,0.857466473359913,0.01368482714612253,0.009286517419113806
DecisionTreeClassifier(max_depth=3),50,0.3,0.8260372857949909,0.8675654380131428,0.01179079362895872,0.005903716525704161
DecisionTreeClassifier(max_depth=3),100,0.3,0.8226727763480008,0.8787872102368534,0.009087432649338333,0.005080459124364408
DecisionTreeClassifier(max_depth=3),200,0.3,0.8260435628648548,0.8877661250925823,0.011142313539252335,0.005756774091525213
DecisionTreeClassifier(max_depth=3),25,1.0,0.8013935095097608,0.8911290322580644,0.02241492341792823,0.00934680280880401
DecisionTreeClassifier(max_depth=3),50,1.0,0.8282844768062269,0.9183474636367933,0.020269215529101204,0.007683178471385677
DecisionTreeClassifier(max_depth=3),100,1.0,0.8316427091833531,0.9478095403186411,0.01472403649193448,0.010779732404691959
DecisionTreeClassifier(max_depth=3),200,1.0,0.8294080723118448,0.9702554485714735,0.019944401483586564,0.0076649235062672605
DecisionTreeClassifier(max_depth=5),25,0.01,0.8171050153788212,0.8874891658918637,0.03275167055721384,0.01029016791027197
DecisionTreeClassifier(max_depth=5),50,0.01,0.8305442219571904,0.8933793750098491,0.02158280266993381,0.011724186484137415
DecisionTreeClassifier(max_depth=5),100,0.01,0.8294269035214363,0.8970263327922845,0.024080261950735562,0.009572680243979444
DecisionTreeClassifier(max_depth=5),200,0.01,0.8249325214989642,0.8975885245126621,0.028620292988344124,0.006555425296074397
DecisionTreeClassifier(max_depth=5),25,0.03,0.8316678174628083,0.8953425154041319,0.02315275414910393,0.011852517803974665
DecisionTreeClassifier(max_depth=5),50,0.03,0.8294206264515724,0.8975897064153677,0.025407738109053477,0.010804157751671923
DecisionTreeClassifier(max_depth=5),100,0.03,0.8338836231247255,0.90460390500654,0.028170685322588894,0.009153256473802341
DecisionTreeClassifier(max_depth=5),200,0.03,0.8327663046889711,0.9138664765116535,0.03247562437189122,0.012407426263871093
DecisionTreeClassifier(max_depth=5),25,0.1,0.8350323269097985,0.9048867737207873,0.03465850119354712,0.009614175708435032
DecisionTreeClassifier(max_depth=5),50,0.1,0.8395016006528154,0.9124631640323368,0.027223409570405685,0.012844543169199212
DecisionTreeClassifier(max_depth=5),100,0.1,0.8361245370660976,0.9222843815497109,0.02924392200194607,0.013444822784296899
DecisionTreeClassifier(max_depth=5),200,0.1,0.8338836231247255,0.9326638511117764,0.026317107795590523,0.0138123371862329
DecisionTreeClassifier(max_depth=5),25,0.3,0.8294080723118448,0.9214405030177917,0.028315517756468143,0.013167475347556594
DecisionTreeClassifier(max_depth=5),50,0.3,0.8327663046889713,0.9354665363947239,0.023174442078370678,0.009040701152537084
DecisionTreeClassifier(max_depth=5),100,0.3,0.8271734354403366,0.9534255480088879,0.023029050910188475,0.007269649492409428
DecisionTreeClassifier(max_depth=5),200,0.3,0.8350260498399347,0.9685759648265755,0.02759906057981725,0.007069032836080107
DecisionTreeClassifier(max_depth=5),25,1.0,0.8305316678174629,0.9957912444647556,0.004009598448760812,0.002346873635125845
DecisionTreeClassifier(max_depth=5),50,1.0,0.8204193082669011,0.9988771924295191,0.01472946778184746,0.0010508171933250432
DecisionTreeClassifier(max_depth=5),100,1.0,0.8159374803841567,0.9991580913059236,0.012500081339425926,0.0006874159464804997
DecisionTreeClassifier(max_depth=5),200,1.0,0.8260310087251271,0.9991580913059236,0.018523600197969534,0.0006874159464804997
DecisionTreeClassifier(max_depth=7),25,0.01,0.8204130311970372,0.9217206139590589,0.025460394282084842,0.014104149552120445
DecisionTreeClassifier(max_depth=7),50,0.01,0.8159249262444291,0.9262098744031391,0.026284385915690642,0.01351294563572689
DecisionTreeClassifier(max_depth=7),100,0.01,0.8249074132195091,0.9298580140882802,0.024258308029023297,0.016510268849004462
DecisionTreeClassifier(max_depth=7),200,0.01,0.8372418555018516,0.936031091920513,0.028077344025652616,0.02247682699973011
DecisionTreeClassifier(max_depth=7),25,0.03,0.8226413909986819,0.9304198118410891,0.02689666938937405,0.015000641928180382
DecisionTreeClassifier(max_depth=7),50,0.03,0.8327600276191074,0.9309816095938983,0.022385043258095344,0.021486266000940422
DecisionTreeClassifier(max_depth=7),100,0.03,0.8226727763480006,0.9427647856028493,0.018305048598822243,0.017850651682169642
DecisionTreeClassifier(max_depth=7),200,0.03,0.8293892411022534,0.9607198575413272,0.014643517426794756,0.012634111208943035
DecisionTreeClassifier(max_depth=7),25,0.1,0.8271671583704727,0.9455702286587769,0.02224556187467107,0.014026084788930845
DecisionTreeClassifier(max_depth=7),50,0.1,0.8204255853367648,0.9579144144853995,0.013767041004341507,0.012756804802289808
DecisionTreeClassifier(max_depth=7),100,0.1,0.8271483271608814,0.9674539451912318,0.023756040078683194,0.007696689041421057
DecisionTreeClassifier(max_depth=7),200,0.1,0.8305191136777352,0.9761511732354192,0.026014308663103794,0.003652820471649775
DecisionTreeClassifier(max_depth=7),25,0.3,0.8327663046889713,0.9778334147532975,0.014880794689213645,0.0016425424079638815
DecisionTreeClassifier(max_depth=7),50,0.3,0.8271797125102003,0.9879343492443702,0.023783788722392174,0.004218754832703673
DecisionTreeClassifier(max_depth=7),100,0.3,0.8249262444291003,0.9983161826118474,0.013798627276155514,0.0016361518183570206
DecisionTreeClassifier(max_depth=7),200,0.3,0.8193208210407381,0.9991580913059236,0.016231116604365988,0.0006874159464804997
DecisionTreeClassifier(max_depth=7),25,1.0,0.7968551879982424,0.9991580913059236,0.012540253446216891,0.0006874159464804997
DecisionTreeClassifier(max_depth=7),50,1.0,0.794620551126734,0.9991580913059236,0.018571922381944966,0.0006874159464804997
DecisionTreeClassifier(max_depth=7),100,1.0,0.8013684012303056,0.9991580913059236,0.020047485173429892,0.0006874159464804997
DecisionTreeClassifier(max_depth=7),200,1.0,0.8002448057246877,0.9991580913059236,0.019421700486775374,0.0006874159464804997
